,Compound,Date,Media Sources,Negative,Neutral,Positive,Text,Tweets Ago
0,0.0,Wed Jan 10 19:30:07 +0000 2018,BBC,0.0,1.0,0.0,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,1
1,-0.4588,Wed Jan 10 19:20:39 +0000 2018,BBC,0.231,0.769,0.0,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",2
2,-0.4588,Wed Jan 10 19:20:03 +0000 2018,BBC,0.2,0.8,0.0,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,3
3,0.8481,Wed Jan 10 19:00:03 +0000 2018,BBC,0.0,0.647,0.353,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",4
4,0.0,Wed Jan 10 18:32:03 +0000 2018,BBC,0.0,1.0,0.0,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,5
5,0.3182,Wed Jan 10 18:03:03 +0000 2018,BBC,0.0,0.887,0.113,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",6
6,0.4939,Wed Jan 10 17:30:07 +0000 2018,BBC,0.0,0.862,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",7
7,0.0,Wed Jan 10 17:02:03 +0000 2018,BBC,0.0,1.0,0.0,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,8
8,-0.3612,Wed Jan 10 16:22:04 +0000 2018,BBC,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,9
9,-0.6597,Wed Jan 10 15:30:06 +0000 2018,BBC,0.239,0.761,0.0,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,10
10,0.3612,Wed Jan 10 15:06:03 +0000 2018,BBC,0.0,0.857,0.143,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,11
11,0.0,Wed Jan 10 14:33:02 +0000 2018,BBC,0.0,1.0,0.0,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,12
12,0.4201,Wed Jan 10 14:03:04 +0000 2018,BBC,0.0,0.872,0.128,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,13
13,0.0,Wed Jan 10 13:37:04 +0000 2018,BBC,0.0,1.0,0.0,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",14
14,0.3182,Wed Jan 10 13:02:01 +0000 2018,BBC,0.0,0.796,0.204,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,15
15,0.0,Wed Jan 10 12:53:52 +0000 2018,BBC,0.0,1.0,0.0,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",16
16,0.0,Wed Jan 10 12:29:40 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",17
17,0.0,Wed Jan 10 12:29:17 +0000 2018,BBC,0.0,1.0,0.0,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",18
18,0.0,Wed Jan 10 12:25:16 +0000 2018,BBC,0.0,1.0,0.0,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",19
19,0.0,Wed Jan 10 11:57:36 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",20
20,0.0,Wed Jan 10 19:30:07 +0000 2018,BBC,0.0,1.0,0.0,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,21
21,-0.4588,Wed Jan 10 19:20:39 +0000 2018,BBC,0.231,0.769,0.0,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",22
22,-0.4588,Wed Jan 10 19:20:03 +0000 2018,BBC,0.2,0.8,0.0,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,23
23,0.8481,Wed Jan 10 19:00:03 +0000 2018,BBC,0.0,0.647,0.353,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",24
24,0.0,Wed Jan 10 18:32:03 +0000 2018,BBC,0.0,1.0,0.0,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,25
25,0.3182,Wed Jan 10 18:03:03 +0000 2018,BBC,0.0,0.887,0.113,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",26
26,0.4939,Wed Jan 10 17:30:07 +0000 2018,BBC,0.0,0.862,0.138,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",27
27,0.0,Wed Jan 10 17:02:03 +0000 2018,BBC,0.0,1.0,0.0,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,28
28,-0.3612,Wed Jan 10 16:22:04 +0000 2018,BBC,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,29
29,-0.6597,Wed Jan 10 15:30:06 +0000 2018,BBC,0.239,0.761,0.0,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,30
30,0.3612,Wed Jan 10 15:06:03 +0000 2018,BBC,0.0,0.857,0.143,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,31
31,0.0,Wed Jan 10 14:33:02 +0000 2018,BBC,0.0,1.0,0.0,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,32
32,0.4201,Wed Jan 10 14:03:04 +0000 2018,BBC,0.0,0.872,0.128,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,33
33,0.0,Wed Jan 10 13:37:04 +0000 2018,BBC,0.0,1.0,0.0,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",34
34,0.3182,Wed Jan 10 13:02:01 +0000 2018,BBC,0.0,0.796,0.204,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,35
35,0.0,Wed Jan 10 12:53:52 +0000 2018,BBC,0.0,1.0,0.0,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",36
36,0.0,Wed Jan 10 12:29:40 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",37
37,0.0,Wed Jan 10 12:29:17 +0000 2018,BBC,0.0,1.0,0.0,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",38
38,0.0,Wed Jan 10 12:25:16 +0000 2018,BBC,0.0,1.0,0.0,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",39
39,0.0,Wed Jan 10 11:57:36 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",40
40,0.0,Wed Jan 10 11:54:10 +0000 2018,BBC,0.0,1.0,0.0,"🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona ove… https://t.co/Io65zVu3xV",41
41,-0.0516,Wed Jan 10 11:43:03 +0000 2018,BBC,0.123,0.763,0.114,"Next time you're tempted to write 'clean me' on the back of a dirty van, why not think bigger? 🚚 🎨… https://t.co/Wb8EextaUh",42
42,-0.9001,Wed Jan 10 11:19:38 +0000 2018,BBC,0.4,0.6,0.0,"The teen tipped to be the next Lewis Hamilton, who lost both his lower legs in a horrific racing accident last year… https://t.co/Ps7Tnocel2",43
43,0.0,Wed Jan 10 10:17:36 +0000 2018,BBC,0.0,1.0,0.0,"RT @BBCNewsAsia: Japanese astronaut, who 'grew 9cm in space', says he made a 'measuring mistake': https://t.co/sV3I8aOFz6 https://t.co/aOel…",44
44,0.6833,Wed Jan 10 10:01:59 +0000 2018,BBC,0.0,0.772,0.228,"RT @BBCOne: OK, we're officially excited! David Oyelowo, @LilyCollins and @DominicWest will star in an epic six-part drama adaptation of #L…",45
45,0.0,Wed Jan 10 09:42:05 +0000 2018,BBC,0.0,1.0,0.0,RT @bbcworldservice: From royal palace to sanctuary for the LGBTQ community: meet India's first openly gay prince who is opening his doors…,46
46,0.4497,Wed Jan 10 09:32:19 +0000 2018,BBC,0.0,0.886,0.114,"RT @bbcmusic: “I don't know where I'm going from here, but I promise it won't be boring” - David Bowie speaking in 1997

2 years today sinc…",47
47,0.6369,Wed Jan 10 09:02:03 +0000 2018,BBC,0.0,0.802,0.198,A tale of survival and deep love: the Tattooist of Auschwitz who met his wife in a concentration camp.… https://t.co/r53TwrPRGh,48
48,0.4926,Wed Jan 10 08:52:21 +0000 2018,BBC,0.0,0.868,0.132,"RT @bbcgetinspired: It's as easy as going down your local park. 

@AdeleRoberts's health hacks are SO simple anyone can do them! 👍 #GetInsp…",49
49,0.0,Wed Jan 10 08:49:22 +0000 2018,BBC,0.0,1.0,0.0,RT @BBCiPlayer: Not watched Peaky Blinders yet? What have you been doing? #Peakyblinders #iplayerit https://t.co/DIxmRSiDU0,50
50,0.2263,Wed Jan 10 08:43:21 +0000 2018,BBC,0.0,0.917,0.083,"First there was raw food, then raw milk... now there's a new fad - raw water, and some start-ups are charging up to… https://t.co/2zPQSsOLc9",51
51,0.7506,Wed Jan 10 08:20:03 +0000 2018,BBC,0.0,0.748,0.252,This new anthology dedicated to black female photographers is believed to be the first collection of its kind for 3… https://t.co/E3xbuDDNrN,52
52,0.6369,Wed Jan 10 08:00:05 +0000 2018,BBC,0.0,0.724,0.276,"'I fell in love with a sperm donor I met on Craigslist.'

#EmmaBarnettShow https://t.co/9C48CTI4lF",53
53,0.0,Wed Jan 10 07:38:04 +0000 2018,BBC,0.0,1.0,0.0,Some practical advice on how to work out at home (without equipment). 💪 https://t.co/pxZ6RiJFtr https://t.co/zRcyYERwE8,54
54,0.3802,Tue Jan 09 20:12:54 +0000 2018,BBC,0.0,0.895,0.105,"RT @BBCBreakfast: Make sure you 'paws' for this one!

Tomorrow we're speaking to the series producer of BBC One's new documentary Big Cats…",55
55,0.3182,Tue Jan 09 20:10:56 +0000 2018,BBC,0.0,0.887,0.113,RT @1Xtra: So @iamwill and @bep are putting out a graphic novel with @Marvel and it looks lit 👀👀 https://t.co/WMUvS2Jt0F,56
56,0.0,Tue Jan 09 20:10:12 +0000 2018,BBC,0.0,1.0,0.0,RT @BBCiPlayer: Class Series 1 - watch all episodes. Boxset available until Monday #iplayerit https://t.co/k88nOUX4Wz,57
57,0.8316,Tue Jan 09 20:10:00 +0000 2018,BBC,0.071,0.586,0.343,"RT @bbcthree: ""As long as I'm alive, I feel that he is alive too""

Brave children explain what it's like to have lost a parent. https://t.c…",58
58,0.0772,Tue Jan 09 19:55:09 +0000 2018,BBC,0.0,0.929,0.071,"A documentary series looking at the challenges facing the new Crown Prince of Saudi Arabia, Mohammed bin Salman.… https://t.co/D1Isc8rgac",59
59,0.0,Tue Jan 09 19:30:07 +0000 2018,BBC,0.0,1.0,0.0,🚀 A Japanese astronaut living on the International Space Station says he's grown 9cm since arriving there 3 weeks a… https://t.co/gYVBN1eA1c,60
60,0.6486,Tue Jan 09 19:00:07 +0000 2018,BBC,0.0,0.739,0.261,"Giving up fizzy drinks in 2018? If you're dieting, that might be a good idea... 👨‍⚕️👩‍⚕️ 
#TrustMeImADoctor https://t.co/UPyyQw5uwi",61
61,0.4215,Tue Jan 09 18:30:12 +0000 2018,BBC,0.0,0.859,0.141,"🍲 Soup is the ultimate budget-friendly supper. All you need are some nice vegetables, stock and a few flavourings.… https://t.co/M4kyapzn4r",62
62,0.25,Tue Jan 09 18:05:51 +0000 2018,BBC,0.0,0.913,0.087,"RT @BBCBreakfast: Coconut oil is the latest 'superfood' to be endorsed by bloggers and celebrities, yet it contains more saturated fat than…",63
63,0.0,Tue Jan 09 18:04:16 +0000 2018,BBC,0.0,1.0,0.0,RT @BBC_Teach: Learn about some of the world's most famous scientists (including Carl Linnaeus👇) with our new series of 'vlog-style' parody…,64
64,0.2263,Tue Jan 09 18:00:02 +0000 2018,BBC,0.088,0.783,0.129,"👑 The astonishing true story of the first reigning queen of England.

England's Forgotten Queen: The Life and Death… https://t.co/YO0cKlCXgt",65
65,0.0,Tue Jan 09 17:51:32 +0000 2018,BBC,0.0,1.0,0.0,RT @BBCAfrica: Snow falls in the Sahara desert https://t.co/mZlD8IKIoL https://t.co/n2M0S4UG8t,66
66,0.6478,Tue Jan 09 17:30:05 +0000 2018,BBC,0.0,0.694,0.306,'Well this I think is one of the more enjoyable parts of the jo...' 😂https://t.co/cQF64ofzMz,67
67,0.6369,Tue Jan 09 17:00:14 +0000 2018,BBC,0.0,0.756,0.244,A selection of the best photos from across and about Africa last week. 📸 https://t.co/l3V3Zhdd1u https://t.co/MLNOIkiv8c,68
68,0.0,Tue Jan 09 16:33:03 +0000 2018,BBC,0.0,1.0,0.0,Prince Harry and Meghan Markle have visited a community radio station in Brixton. 📻 https://t.co/GagmLYEocM https://t.co/OEwlHAeYhy,69
69,0.5093,Tue Jan 09 15:00:10 +0000 2018,BBC,0.0,0.785,0.215,The nominations for this year's Bafta Film Awards have been announced! ✨ 🎬 https://t.co/5yAuq8o65r https://t.co/rCkDXxxpZw,70
70,0.2023,Tue Jan 09 14:31:03 +0000 2018,BBC,0.0,0.924,0.076,🎬🎞 Films with female leads were the top three at the box office in 2017. Will Hollywood follow the money in future?… https://t.co/qfLEvQs4Y0,71
71,0.5106,Tue Jan 09 14:00:07 +0000 2018,BBC,0.0,0.815,0.185,🎧🎸 Nearly a quarter of the current UK top 40 is made up of tracks credited to more than one artist.… https://t.co/waVrDMmuTy,72
72,0.7845,Tue Jan 09 13:53:31 +0000 2018,BBC,0.0,0.753,0.247,RT @BBCArchive: Blue Peter has been named the best children's TV programme by experts who have clearly never seen Button Moon. Here's Valer…,73
73,-0.1298,Tue Jan 09 13:52:08 +0000 2018,BBC,0.135,0.749,0.116,RT @BBCWiltshire: One of Longleat's most popular residents has died. Nico was believed to be the oldest silverback gorilla in Europe 🦍 😢 ht…,74
74,0.0,Tue Jan 09 13:30:05 +0000 2018,BBC,0.0,1.0,0.0,"Sporting statue shockers... 

Michael, is that you? 🤔 https://t.co/GUJHPqWlmW https://t.co/2vPD9z2FES",75
75,0.0,Tue Jan 09 13:00:10 +0000 2018,BBC,0.0,1.0,0.0,Feast your mince pies on this Cockney rhyming slang quiz. 👉 https://t.co/JQaEbCQUtZ https://t.co/LpKcYHUJCN,76
76,-0.4215,Tue Jan 09 12:37:58 +0000 2018,BBC,0.149,0.851,0.0,"RT @bbcthree: ""Do you regret keeping him?""

And other things not to say to single parents. https://t.co/CeTGyVVwD0",77
77,0.6705,Tue Jan 09 12:30:03 +0000 2018,BBC,0.0,0.756,0.244,"The @HairyBikers stuffed aubergines are easy enough to feed a crowd but special enough for a weekend lunch. 🍆🍴

Ful… https://t.co/aruvje4KAF",78
78,0.0,Tue Jan 09 12:01:03 +0000 2018,BBC,0.0,1.0,0.0,Joanna Lumley is to replace Stephen Fry as host of this year's #BAFTAs. ✨ 🌟 🎬 https://t.co/ae94Exjzfu https://t.co/ZBGk0xjfzt,79
79,-0.5574,Tue Jan 09 11:36:03 +0000 2018,BBC,0.194,0.806,0.0,One of the world's oldest silverback male gorillas has died at Longleat Safari Park. 💔 https://t.co/lMrxmoe7kG https://t.co/HIsPtnqJr3,80
80,-0.2023,Tue Jan 09 11:13:37 +0000 2018,BBC,0.096,0.904,0.0,"'A single shower can result in 100,000 plastic particles entering the ocean.'

Why #microbeads are controversial. 👉… https://t.co/q7QcOsYT4g",81
81,0.4588,Tue Jan 09 10:52:30 +0000 2018,BBC,0.0,0.842,0.158,"🎭🏆 Natalie Dormer and @LetitiaWright announce nominations for this year's #BAFTAs.

British Academy Film Awards | S… https://t.co/tOeRYkiCut",82
82,0.0,Tue Jan 09 09:00:05 +0000 2018,BBC,0.0,1.0,0.0,Do you know the answer? 🤔 https://t.co/EpDXFLZv93 https://t.co/wKPZAIkHhR,83
83,-0.5423,Tue Jan 09 08:45:47 +0000 2018,BBC,0.304,0.696,0.0,RT @BBCWorld: Australian animals suffer through extreme heat https://t.co/JYntMzQuoX,84
84,-0.4215,Tue Jan 09 08:41:09 +0000 2018,BBC,0.149,0.851,0.0,"RT @bbcthree: ""Do you regret keeping him?""

And other things not to say to single parents. https://t.co/nEyDAacVxT",85
85,0.802,Tue Jan 09 08:41:02 +0000 2018,BBC,0.0,0.754,0.246,"RT @BBCOne: SO MUCH LOVE FOR THE WORLD'S SMALLEST CAT! 😍  

🐯 #BigCats, starts Thursday at 8pm on @BBCOne and @BBCiPlayer.
https://t.co/YYQ…",86
86,0.0,Tue Jan 09 08:40:50 +0000 2018,BBC,0.0,1.0,0.0,RT @BBCNewsEnts: Have a look at who's been nominated for the #Baftas https://t.co/OSkPgdpMAS,87
87,0.0,Tue Jan 09 08:40:02 +0000 2018,BBC,0.0,1.0,0.0,"This man has been reunited with his digital camera following a social media campaign, a year after it was swept awa… https://t.co/PgZ72xbKdN",88
88,0.0,Tue Jan 09 08:39:48 +0000 2018,BBC,0.0,1.0,0.0,RT @BBCNewsEnts: #Baftas new host - Joanna Lumley! https://t.co/fXiYK7j8Dn,89
89,-0.4588,Tue Jan 09 08:20:04 +0000 2018,BBC,0.15,0.85,0.0,"🦏 Between 2007-14, rhino poaching rose 9000%. The very existence of the species is threatened by organised crime.… https://t.co/MM90i44O8U",90
90,-0.6705,Tue Jan 09 08:00:04 +0000 2018,BBC,0.244,0.756,0.0,More than half a million tonnes of plastic and other untreated waste is dumped into the Ganges each year. https://t.co/fqsGo3x3F9,91
91,0.4404,Tue Jan 09 07:38:04 +0000 2018,BBC,0.0,0.892,0.108,"It's the time of year to switch your phone off, put the kettle on &amp; get between the covers - of a good book that is… https://t.co/oUtgWBVBHu",92
92,0.296,Mon Jan 08 21:29:44 +0000 2018,BBC,0.0,0.905,0.095,"RT @bbc5live: Looking for some exercise and nutrition advice? 💪

Joe Wicks, aka @thebodycoach, shares his tips on how to sustain a long ter…",93
93,0.0,Mon Jan 08 21:29:01 +0000 2018,BBC,0.0,1.0,0.0,"RT @bbcasiannetwork: 📡 The Asian Network Future Sounds 2018 list is live! 📡
⬇️ Get these artists on your radar right now ⬇️
@rikaldn 
@nash…",94
94,-0.1655,Mon Jan 08 21:28:07 +0000 2018,BBC,0.099,0.831,0.069,"RT @bbcthesocial: Jordan thought nobody would give him a chance after prison, but now he's training to be a chef 

#IntoIt https://t.co/GVV…",95
95,0.3182,Mon Jan 08 21:27:12 +0000 2018,BBC,0.0,0.905,0.095,"RT @bbcworldservice: ""Our job as journalists is to bring the story back and to make sure that these things are not invisible."" @cmittermeie…",96
96,-0.25,Mon Jan 08 21:23:06 +0000 2018,BBC,0.118,0.882,0.0,RT @BBCiPlayer: 🎁 #HardSun is the new #boxset to get stuck into this week. #iplayerit https://t.co/7AEUPTrmRV https://t.co/DTxDAF4217,97
97,0.0772,Mon Jan 08 21:22:32 +0000 2018,BBC,0.0,0.939,0.061,RT @BBCWthrWatchers: Some cracking sunsets 🌇 in the north of the UK earlier. Cloudier conditions arriving overnight may limit the number of…,98
98,0.0,Mon Jan 08 20:30:06 +0000 2018,BBC,0.0,1.0,0.0,"The #SilentWitness team are back. 

9pm | @BBCOne | https://t.co/nluMqMB9kB https://t.co/XNJzlzoti7",99
99,0.0,Mon Jan 08 20:04:03 +0000 2018,BBC,0.0,1.0,0.0,Recy Taylor: who was the woman Oprah mentioned in her #GoldenGlobes speech? https://t.co/tiynXeMmCO https://t.co/1Pw4pUEQRY,100
100,0.8553,Wed Jan 10 17:15:18 +0000 2018,CBS,0.0,0.656,0.344,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,1
101,0.0,Wed Jan 10 14:44:59 +0000 2018,CBS,0.0,1.0,0.0,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",2
102,0.1867,Tue Jan 09 19:30:28 +0000 2018,CBS,0.0,0.924,0.076,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,3
103,0.836,Tue Jan 09 19:27:16 +0000 2018,CBS,0.0,0.683,0.317,"🎶@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",4
104,0.0,Tue Jan 09 18:29:39 +0000 2018,CBS,0.0,1.0,0.0,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,5
105,0.0,Mon Jan 08 18:07:57 +0000 2018,CBS,0.0,1.0,0.0,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,6
106,0.0,Mon Jan 08 14:34:48 +0000 2018,CBS,0.0,1.0,0.0,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",7
107,0.0,Mon Jan 08 14:29:20 +0000 2018,CBS,0.0,1.0,0.0,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,8
108,0.0,Mon Jan 08 00:29:51 +0000 2018,CBS,0.0,1.0,0.0,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,9
109,0.0,Sat Jan 06 20:05:17 +0000 2018,CBS,0.0,1.0,0.0,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",10
110,0.8271,Sat Jan 06 19:04:08 +0000 2018,CBS,0.0,0.686,0.314,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,11
111,-0.7717,Sat Jan 06 19:03:38 +0000 2018,CBS,0.226,0.774,0.0,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,12
112,0.0,Sat Jan 06 00:37:55 +0000 2018,CBS,0.0,1.0,0.0,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",13
113,0.0,Sat Jan 06 00:30:53 +0000 2018,CBS,0.0,1.0,0.0,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,14
114,0.0,Fri Jan 05 18:30:42 +0000 2018,CBS,0.0,1.0,0.0,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",15
115,0.0,Fri Jan 05 16:05:58 +0000 2018,CBS,0.0,1.0,0.0,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",16
116,0.1867,Thu Jan 04 23:13:02 +0000 2018,CBS,0.0,0.89,0.11,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",17
117,-0.296,Thu Jan 04 14:43:09 +0000 2018,CBS,0.121,0.879,0.0,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",18
118,0.5423,Wed Jan 03 20:33:09 +0000 2018,CBS,0.0,0.821,0.179,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",19
119,-0.5267,Wed Jan 03 19:51:15 +0000 2018,CBS,0.167,0.833,0.0,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,20
120,0.8553,Wed Jan 10 17:15:18 +0000 2018,CBS,0.0,0.656,0.344,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,21
121,0.0,Wed Jan 10 14:44:59 +0000 2018,CBS,0.0,1.0,0.0,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",22
122,0.1867,Tue Jan 09 19:30:28 +0000 2018,CBS,0.0,0.924,0.076,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,23
123,0.836,Tue Jan 09 19:27:16 +0000 2018,CBS,0.0,0.683,0.317,"🎶@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",24
